cellId,value
0,83410.7654600999
1,83411.4099724878
2,83411.0936746787
3,83404.8430997015
4,83399.0933051539
5,83381.8295757949
6,83401.6219512439
7,83401.3089370026
8,83379.8864568023
9,83456.2390691681
10,83459.5441504437
11,83430.9389739574
12,83423.4563242179
13,83417.4568704745
14,83418.3108643037
15,83419.1235313555
16,83419.3073034417
17,83416.4055523999
18,83418.0217075566
19,83420.8822840435
20,83429.1603225733
21,83427.4864003299
22,83415.9650017517
23,83430.8603636569
24,83443.790404277
25,83457.8650376888
26,83461.9783677095
27,83414.6217621087
28,83414.4999072244
29,83415.7014939322
30,83415.4207094306
31,83414.5109956326
32,83414.1742939239
33,83413.4648663377
34,83413.542501201
35,83414.2875485034
36,83414.4916289927
37,83414.2551833784
38,83414.1087690114
39,83413.1808956415
40,83413.2004706757
41,83412.0347450132
42,83411.9794597505
43,83410.709550435
44,83411.6157328812
45,83410.5558994167
46,83409.1379720241
47,83406.9894562136
48,83395.2965827992
49,83403.0223598644
50,83408.9452756261
51,83412.6534761913
52,83409.901193141
53,83407.7786255543
54,83412.1783269185
55,83409.79432675
56,83407.1475298062
57,83395.7632144399
58,83404.9707307558
59,83407.4398344933
60,83407.1232472919
61,83398.518248971
62,83404.9524668086
63,83414.037775415
64,83420.858169509
65,83433.568921412
66,83414.3841064811
67,83408.7495637202
68,83421.700587817
69,83413.9738889361
70,83411.1182206822
71,83412.8014735139
72,83414.0723519503
73,83416.710341605
74,83414.6180013955
75,83409.2200180308
76,83407.4351727195
77,83409.3844933693
78,83409.1026818806
79,83409.0767254996
80,83407.3205990995
81,83409.3614465632
82,83409.3563524522
83,83411.1379475648
84,83415.8374418914
85,83405.7071447786
86,83405.6302747664
87,83412.7459958681
88,83409.7122507041
89,83407.9789539432
90,83409.2782170236
91,83409.7722866307
92,83410.8474588431
93,83410.4743990198
94,83412.1833393516
95,83412.5966878837
96,83412.2034302879
97,83412.0843147798
98,83412.4269309188
99,83412.5315319332
100,83413.8669196116
101,83413.8081117455
102,83414.4358579972
103,83414.5698123089
104,83414.7829827009
105,83414.5780333943
106,83416.2666919787
107,83416.5267277932
108,83415.4016983699
109,83415.5038205198
110,83413.0835368712
111,83413.1076521246
112,83413.5821333889
113,83413.5482605475
114,83413.4392964136
115,83413.9361948405
116,83413.4354000762
117,83412.9250181582
118,83414.6564561569
119,83415.1202131403
120,83413.0801888514
121,83412.571901251
122,83410.8370448309
123,83411.8864775231
124,83412.5660953648
125,83411.8730015568
126,83411.7996816325
127,83409.562884845
128,83410.3556619581
129,83412.227624363
130,83411.2323579469
131,83409.6850729345
132,83413.821517193
133,83409.8408443482
134,83405.1196280404
135,83404.9835659405
136,83406.4278740297
137,83408.69887989
138,83407.499758482
139,83406.382909974
140,83409.6498132167
141,83409.4651479796
142,83408.7523889872
143,83407.9357502297
144,83408.1655946122
145,83408.9641425529
146,83409.2387937792
