cellId,value
0,0.0150874390428302
1,0.0150914134597911
2,0.0162984838546069
3,0.0164061582453253
4,0.0167317964951534
5,0.0165728463681343
6,0.01517213910024
7,0.0151278936054976
8,0.0164311379759032
9,0.0158106852063434
10,0.015353582633453
11,0.0150314500138301
12,0.0150685530649391
13,0.0150490518650431
14,0.0150132796548952
15,0.015011113709416
16,0.0153245830302207
17,0.0157351453811844
18,0.0150449009120889
19,0.0150920090321509
20,0.0150561205718912
21,0.0153412033421869
22,0.0157499525777623
23,0.0158004576973832
24,0.0153758461681524
25,0.0153291032464412
26,0.0158118070866352
27,0.0150103042596746
28,0.0157516778675561
29,0.0153092747863104
30,0.015002764097297
31,0.01500298790209
32,0.0150132949142982
33,0.0150007575829265
34,0.0149985333393931
35,0.0149980734169727
36,0.0153027721170685
37,0.0157509026199847
38,0.0150006771732005
39,0.0150757582970103
40,0.016285479865331
41,0.0162868555535325
42,0.0150717867350795
43,0.0151160498381128
44,0.0169421922233021
45,0.0169512062576756
46,0.0151187198151978
47,0.0152570890109907
48,0.0173879880060681
49,0.0177210771173121
50,0.0171052317483564
51,0.0178912170149444
52,0.018873285333398
53,0.0183098465425449
54,0.0153536516903412
55,0.0153030160511957
56,0.0179966010083246
57,0.017159211309092
58,0.0152291560094529
59,0.0153346200295675
60,0.0172187175471261
61,0.0164794372689228
62,0.0151769321362555
63,0.0150524430915134
64,0.0150163643408444
65,0.0153484057926698
66,0.0158681895627213
67,0.015829642503622
68,0.015300863199486
69,0.0150080532758426
70,0.0150285240962341
71,0.0150161660948405
72,0.0150051484387097
73,0.0150106216876708
74,0.0150288316669706
75,0.0150320596185537
76,0.0150755626199467
77,0.0150740567409486
78,0.0151496100670429
79,0.0164186910024177
80,0.0164364999142398
81,0.0150885510798722
82,0.0150133174992057
83,0.0150029102605741
84,0.0152981225970279
85,0.0158259489170059
86,0.0159353880553718
87,0.0153536402977324
88,0.0150018571710121
89,0.0150105519338191
90,0.0150023437283499
91,0.0150017028109634
92,0.0150002014691862
93,0.0150016833162226
94,0.0150056209772829
95,0.0150010582188969
96,0.0149989930619605
97,0.0149990697317546
98,0.0149995963941263
99,0.0149992864396111
100,0.0149990324564384
101,0.015001283767772
102,0.0150010909811228
103,0.0157505478546374
104,0.0153026016372825
105,0.0149986566321626
106,0.0150033819373724
107,0.0153088191038809
108,0.0157507503931534
109,0.0150109381159798
110,0.0150707162197222
111,0.0162848839339831
112,0.0162846428726512
113,0.0150740096325652
114,0.0151145721005064
115,0.0169491022559946
116,0.0169507419922519
117,0.0151214025240386
118,0.015160969038553
119,0.0177427046138919
120,0.0177086241924638
121,0.0151609566227725
122,0.0151559631434807
123,0.0176894546957416
124,0.018515516528994
125,0.015477826118217
126,0.0157733233237834
127,0.0193271365792558
128,0.0201357587588363
129,0.018740498876431
130,0.0197544524331279
131,0.0212819412808282
132,0.0206036942586573
133,0.016640399251337
134,0.0160702722468243
135,0.0201731977014383
136,0.0189447524633636
137,0.0155807296325137
138,0.0154594788686392
139,0.0192317018517036
140,0.0181480310409844
141,0.0153564277983601
142,0.0153190830405641
143,0.0180739340633112
144,0.017154276507899
145,0.0152749464337583
146,0.0151437985048144
147,0.0171857341765564
148,0.0174783206418034
149,0.0153348764134989
