cellId,value
0,83410.8996357353
1,83411.5445189051
2,83411.2283305712
3,83404.977203901
4,83399.2272465508
5,83381.9633741417
6,83401.755864731
7,83401.4424961186
8,83380.0198733151
9,83456.3729003929
10,83459.6781216463
11,83431.0730905962
12,83423.5902727569
13,83417.5913246997
14,83418.4453554564
15,83419.2582527074
16,83419.4420488082
17,83416.5402939699
18,83418.1564089968
19,83421.0163708496
20,83429.2945787095
21,83427.6207813708
22,83416.0993142146
23,83430.9945021154
24,83443.924658315
25,83457.9991851571
26,83462.1123445087
27,83414.7571806945
28,83414.6353477481
29,83415.8369256957
30,83415.556116521
31,83414.6461861309
32,83414.3094389594
33,83413.6010230714
34,83413.6786607488
35,83414.4239243452
36,83414.6280827764
37,83414.3917438034
38,83414.2451935046
39,83413.3174147494
40,83413.3371187334
41,83412.1702448447
42,83412.1147685904
43,83410.8448744788
44,83411.7513055371
45,83410.6902199491
46,83409.2721361747
47,83407.1227002986
48,83395.4295156084
49,83403.1556444768
50,83409.0787979532
51,83412.7859726186
52,83410.0333265264
53,83407.9103059118
54,83412.3104024476
55,83409.9255798573
56,83407.2785495609
57,83395.8957609929
58,83405.1035407915
59,83407.5722683012
60,83407.2555445395
61,83398.6514353702
62,83405.0857847351
63,83414.1715879785
64,83420.9921102102
65,83433.702692206
66,83414.5177443293
67,83408.8831781662
68,83421.8343192747
69,83414.1078397707
70,83411.25202557
71,83412.9358444579
72,83414.2067008395
73,83416.8446449811
74,83414.752273007
75,83409.3540530225
76,83407.5688900401
77,83409.5182952996
78,83409.2359199459
79,83409.2098768835
80,83407.4539064981
81,83409.4950269083
82,83409.4902362285
83,83411.2719467332
84,83415.9712835726
85,83405.8408459494
86,83405.7642610306
87,83412.8800924335
88,83409.8464739824
89,83408.1130451423
90,83409.412729171
91,83409.9068466978
92,83410.982085154
93,83410.6089817265
94,83412.3181708025
95,83412.7315487865
96,83412.3392566539
97,83412.2200970655
98,83412.5638153857
99,83412.6683911388
100,83414.0041167468
101,83413.94535831
102,83414.5732906284
103,83414.7073178734
104,83414.92047246
105,83414.7154295468
106,83416.4050138838
107,83416.6651613861
108,83415.5401128894
109,83415.6421965902
110,83413.2223759039
111,83413.2464012139
112,83413.7198563782
113,83413.6859758169
114,83413.5776777544
115,83414.0746269961
116,83413.5723642834
117,83413.0618762215
118,83414.7937096866
119,83415.2575864488
120,83413.2155963375
121,83412.7069699682
122,83410.970339064
123,83412.020200944
124,83412.698801477
125,83412.0050311311
126,83411.9295249469
127,83409.692279767
128,83410.4857886701
129,83412.3583367566
130,83411.3600429735
131,83409.811995692
132,83413.9472589735
133,83409.9672129975
134,83405.2432106972
135,83405.1065944563
136,83406.5558804232
137,83408.8273728609
138,83407.627310469
139,83406.5100072694
140,83409.7802067909
141,83409.5958087129
142,83408.8828719406
143,83408.0657851676
144,83408.2977427536
145,83409.096557985
146,83409.3713545223
147,83409.2008702043
148,83409.9877728539
149,83409.9736224986
150,83409.3451686432
151,83408.262282907
152,83409.3827363188
153,83409.486019486
154,83406.817946818
155,83408.2257639037
156,83409.2418814022
157,83402.9745336943
158,83405.3515420274
159,83409.0280237456
160,83408.3418573931
161,83407.8191691275
162,83409.5200856039
163,83409.5931847234
164,83410.9154364833
165,83410.7572132491
166,83411.0476447642
167,83411.2018264341
168,83411.9023348717
169,83411.5479852819
170,83413.3508454084
171,83413.7145667616
172,83415.5533572978
173,83415.2718965286
174,83418.9625388186
175,83419.8030263364
176,83420.5293152708
177,83420.7309894274
178,83417.8849786666
179,83419.2597177015
180,83412.8649265991
181,83412.5566559178
182,83412.7881393304
183,83411.3992557946
184,83412.4342087026
185,83413.2921232966
186,83415.3170053995
187,83414.749623342
188,83415.503612782
189,83415.9774210442
190,83419.5459319842
191,83419.8329400747
192,83418.6639970559
193,83418.5187427187
194,83416.0132061809
195,83415.8211363237
196,83420.6143276206
197,83420.6322622862
198,83414.0700036955
199,83413.3946326324
200,83411.5884843189
201,83412.9689336332
202,83409.6308192755
203,83407.9705267305
204,83409.5613191079
205,83412.1243960076
206,83414.7388593144
207,83413.6958038456
208,83416.9563023449
209,83418.8642997204
210,83428.5700504566
211,83427.9899186596
212,83428.1972165281
213,83428.7893611581
214,83432.8392464768
215,83432.6595148877
216,83418.3860498237
217,83419.5715710365
218,83417.1227829981
219,83416.9451515684
220,83419.3229018441
221,83416.0227240638
222,83416.3982248719
223,83430.8384162474
224,83401.0087514725
225,83411.8711948223
226,83411.3159619757
227,83413.4432837005
228,83403.5427668343
229,83396.7755555748
230,83379.8681515769
231,83404.1139160022
232,83407.7101046561
233,83396.0300785702
234,83400.6149210867
235,83407.1549790123
236,83402.0793830745
237,83387.4930530156
238,83375.1928492236
239,83395.287968865
240,83398.9893220442
241,83398.3445280724
242,83403.5083456663
243,83404.7135716017
244,83403.3461606461
245,83401.7920926599
246,83405.7592176061
247,83406.7838652381
248,83406.396616677
249,83406.1398218831
250,83408.9766515072
251,83408.60621812
252,83408.7164541801
253,83409.0190742301
254,83409.444322446
255,83408.8529218152
256,83410.4622897633
257,83411.465235923
258,83410.8666930292
259,83410.3516842064
260,83409.6800188284
261,83409.2189726726
262,83409.9313932694
263,83410.0827510122
264,83407.8422188486
265,83404.8235035211
266,83408.8274108659
267,83408.3722615612
268,83409.775013441
269,83409.6869592235
270,83409.375706372
271,83409.7788591914
272,83408.5760397517
273,83407.1967854994
274,83402.8331138937
275,83409.474020755
276,83414.5455814995
277,83410.9263827532
278,83409.2775992009
279,83407.3783304297
280,83409.8174276426
281,83410.6376080595
282,83410.7414637156
283,83408.5039806899
284,83410.3615903683
285,83410.7133669194
286,83412.9696801443
287,83415.8501909846
288,83424.440386756
289,83411.4131754496
290,83407.6180811519
291,83417.9259187887
292,83412.7466650896
293,83410.8659160794
294,83416.4517924935
295,83415.9156618153
296,83422.8597455219
297,83436.2305882597
298,83462.2477459363
299,83433.0654808097
300,83425.4026331371
301,83457.7510804521
302,83381.2639495194
303,83403.5597568299
304,83404.0359627109
305,83407.4491278856
306,83402.4424276012
307,83384.1756393468
308,83459.1722592529
309,83458.3116118406
310,83431.215473077
311,83422.4097006837
312,83417.9266144457
313,83429.1301248318
314,83444.436338812
315,83432.3641219848
316,83399.193526263
317,83405.9690534463
318,83411.3903717097
319,83409.5688224016
320,83407.5285629539
321,83398.7410373985
322,83410.693746213
323,83413.1873184155
324,83415.1568903904
325,83415.4129452843
326,83412.6575743957
327,83411.369148823
328,83414.7251276261
329,83414.9324095711
330,83416.7129880597
331,83416.4353326671
332,83416.2874809832
333,83416.7410637601
334,83418.7514024301
335,83418.9155513924
336,83426.788340848
337,83426.4036616392
338,83429.0630650683
339,83429.4236995452
340,83426.8443455808
341,83426.499523289
342,83441.4230162992
343,83441.7836771016
344,83459.637332795
345,83459.5929127244
346,83477.4232856807
347,83477.0301740928
348,83452.4833680167
349,83453.0758082604
350,83462.8995796332
351,83462.282235785
352,83435.339545261
353,83437.1912625774
354,83419.6141650586
355,83418.7746882812
356,83414.7838670274
357,83426.3854662503
358,83418.4086624696
359,83414.0727147794
360,83394.147146626
361,83395.60825382
362,83398.3159487172
363,83394.2698895238
364,83395.4523069938
365,83407.5273582512
366,83440.5887752027
367,83419.4488946251
368,83423.8885523311
369,83449.3325042181
370,83436.8977500793
371,83419.4757286861
372,83402.2958925782
373,83390.5177505183
374,83434.8763271979
375,83407.426257355
376,83394.7152963357
377,83395.2350990741
378,83382.8494423787
379,83387.1964280982
380,83396.0723128318
381,83393.1526290968
382,83393.3561866802
383,83395.5366972739
384,83402.5614387236
385,83401.4851314639
386,83400.8822413027
387,83401.2340514179
388,83405.7210329071
389,83405.6744525945
390,83405.6300600308
391,83405.5837445267
392,83405.972080279
393,83405.6588395269
394,83409.0067006637
395,83408.8498570212
396,83409.143429172
397,83409.2084442656
398,83411.8550056338
399,83410.8508820152
400,83411.4872888382
401,83412.7696618683
402,83411.0807456525
403,83410.5041054201
404,83410.2110861798
405,83410.0914504159
406,83410.3394154058
407,83410.7273342104
408,83410.5750638344
409,83410.1698332914
410,83410.6712133457
411,83410.7153337287
412,83410.6857571019
413,83410.8065063279
414,83411.1712779284
415,83410.9549354749
416,83410.7543646647
417,83410.9654908355
418,83411.1654272404
419,83410.0298486955
420,83409.4878324235
421,83409.8134820958
422,83412.8422609442
423,83413.2535862338
424,83411.4994464217
425,83412.3132731063
426,83413.6645082605
427,83411.3420278714
428,83412.3553340027
429,83412.9381656652
430,83417.052054484
431,83418.0538729341
432,83416.5251510604
433,83420.5224638044
434,83399.1214086706
435,83410.8424256349
436,83417.3830890823
437,83413.287525812
438,83419.5203848656
439,83421.3469630385
440,83424.0588483056
441,83422.1083174937
442,83429.1690324821
443,83430.6393419254
444,83429.4956584745
445,83429.1943413631
446,83423.475987773
447,83425.6138538617
448,83422.2070145902
449,83420.3421375044
450,83394.2150445665
451,83409.7816941344
452,83421.2995362405
453,83433.8937573104
454,83431.808105796
455,83412.0829407623
456,83418.0092797228
457,83436.3229699685
458,83443.8125503912
459,83449.7442805311
460,83435.3131984424
461,83438.3329605863
462,83444.7633041694
463,83441.3516946579
464,83445.3301542445
465,83446.9085211046
466,83464.4371260951
467,83463.8376865522
468,83485.6638910615
469,83486.1234326248
470,83504.0975264568
471,83503.783368965
472,83508.2812029718
473,83508.6089645887
474,83498.1300474575
475,83497.7106059538
476,83537.5433345831
477,83535.4968204046
478,83500.7130347083
479,83501.279641059
480,83506.0332579214
481,83506.7656271243
482,83480.7475380224
483,83479.4484802729
484,83452.0168786167
485,83453.5101725199
486,83438.0901585156
487,83436.9069416439
488,83418.3391344017
489,83417.8997923981
490,83403.8115244363
491,83404.0686428687
492,83373.0773074411
493,83372.8856635688
494,83364.4304815799
495,83365.6717121806
496,83364.661112704
497,83363.8182399727
498,83362.9786853957
499,83366.0709341959
500,83364.2804439187
501,83362.2225216897
502,83359.3544261754
503,83357.7523928639
504,83389.1936068635
505,83388.2159198825
506,83380.3605715577
507,83375.7367207708
508,83405.8241001393
509,83403.5750398947
510,83406.1279585942
511,83397.5850350781
512,83404.7332488355
513,83387.9685476056
514,83366.5814155912
515,83370.1650896713
516,83354.5758885037
517,83392.2222777322
518,83366.181017375
519,83356.3558728584
520,83425.8989366955
521,83420.8477737644
522,83365.4315337883
523,83370.8423432932
524,83393.8333108936
525,83393.5578532038
526,83369.7312092786
527,83362.512420742
528,83407.8510873417
529,83380.829229943
530,83351.4395704734
531,83359.5304870934
532,83383.1660115967
533,83374.6745915731
534,83367.4737968077
535,83368.7484478216
536,83352.7299641109
537,83367.7482021367
538,83361.0108056862
539,83354.4798692555
540,83353.3015958379
541,83340.4438019515
542,83338.7417964175
543,83349.33324227
544,83323.8433329415
545,83330.6666935051
546,83313.1337939675
547,83292.9743916903
548,83318.4456834259
549,83320.0163581236
550,83358.5374938314
551,83358.4740288082
552,83383.571935846
553,83381.8300191409
554,83393.8568264731
555,83393.4431731289
556,83392.8165906479
557,83393.3487969268
558,83400.9697978668
559,83400.6610739456
560,83400.9225700585
561,83401.5999465457
562,83402.3144300183
563,83401.5539794725
564,83406.0657283653
565,83406.4501802612
566,83406.9798087153
567,83406.9620443421
568,83410.0881490073
569,83409.6973347418
570,83410.235527359
571,83410.4189684662
572,83411.4051703924
573,83410.8956359414
574,83411.826527005
575,83411.1635252708
576,83410.06072777
577,83411.0069326031
578,83409.2931908779
579,83408.2477583998
580,83410.7729815072
581,83411.5401833578
582,83408.5062371599
583,83407.8566681658
584,83385.4372320731
585,83407.1443023699
586,83422.2127259712
587,83407.1436168786
588,83401.1412641226
589,83427.103914933
590,83454.188489929
591,83476.5636332852
592,83477.9467301195
593,83455.6609692548
594,83452.6172410072
595,83475.4471634209
596,83468.1307108625
597,83448.6481297501
598,83447.7430888387
599,83463.9211476442
600,83461.8731488209
601,83444.5221245895
602,83430.6631316113
603,83442.2181774352
604,83432.6519291914
605,83433.1543271234
606,83430.7212998292
607,83430.7865900625
608,83433.5987382075
609,83431.8228803015
610,83440.6527138332
611,83441.4834689589
612,83444.2370390815
613,83442.0212270494
614,83449.6139158146
615,83459.2488161919
616,83458.2800878134
617,83454.8237204369
618,83451.1594302453
619,83449.9880447761
620,83454.9277348808
621,83456.4135604928
622,83483.185685248
623,83480.9710845783
624,83515.6921993037
625,83515.3390725626
626,83546.0351722359
627,83548.1893007643
628,83556.8546751755
629,83554.0643943387
630,83611.316933646
631,83612.6488273037
632,83597.2582705661
633,83596.2965167522
634,83572.3244681616
635,83573.079147563
636,83544.9638948838
637,83545.0492999505
638,83560.9354569745
639,83559.9477842556
640,83513.3322266337
641,83514.1123827517
642,83475.2050790478
643,83473.9103407504
644,83444.5764880426
645,83444.2896933376
646,83424.6652255317
647,83425.1295776294
648,83408.9175542307
649,83408.9373050029
650,83391.4978548251
651,83391.5139484403
652,83370.9670831316
653,83370.6820874179
654,83344.6478094185
655,83344.7961325153
656,83334.4158018642
657,83334.0268016817
658,83333.5054145299
659,83334.9094282195
660,83334.1882075144
661,83333.3702210974
662,83334.1043070643
663,83336.4899585077
664,83337.5052837786
665,83335.9069097194
666,83336.9420568704
667,83336.7066839976
668,83334.450140434
669,83338.2777997343
670,83357.8302068962
671,83350.5599556246
672,83363.5031193613
673,83368.2234913969
674,83378.2371325495
675,83372.104732556
676,83363.9852656188
677,83353.0183467203
678,83366.1943609603
679,83379.4665915331
680,83380.0725100374
681,83365.581808993
682,83360.0389947001
683,83358.7910075988
684,83379.6551151474
685,83381.2503959392
686,83394.2094116107
687,83392.9678253916
688,83393.7585109528
689,83395.1987450665
690,83395.8177767207
691,83394.9269975029
692,83402.5230331148
693,83402.9134235801
694,83404.23614077
695,83403.852889296
696,83406.3367852575
697,83406.9908099287
698,83401.7519955623
699,83400.391252356
700,83402.9595262966
701,83404.5292865218
702,83396.0002056834
703,83388.7345393343
704,83396.9651935301
705,83405.5424926823
706,83423.7635044415
