cellId,value
0,83410.6093131351
1,83411.2538080076
2,83410.9375183357
3,83404.6868793561
4,83398.9370887119
5,83381.6733355309
6,83401.4657410972
7,83401.1527091924
8,83379.7302219954
9,83456.082951713
10,83459.3880364256
11,83430.7828895238
12,83423.3002073369
13,83417.3008455554
14,83418.154868403
15,83418.9675097818
16,83419.1512808592
17,83416.2495133884
18,83417.8656738963
19,83420.7261443115
20,83429.0042122253
21,83427.3303126004
22,83415.8088900966
23,83430.7042271786
24,83443.634276253
25,83457.7088901301
26,83461.8222118998
27,83414.465852004
28,83414.3439844521
29,83415.5456012234
30,83415.2648247874
31,83414.3551236121
32,83414.0183936525
33,83413.3091521249
34,83413.3868010239
35,83414.1318271496
36,83414.3359008174
37,83414.0994496941
38,83413.9530398241
39,83413.0251282471
40,83413.0446682804
41,83411.878766696
42,83411.8234492083
43,83410.5533970605
44,83411.4595900399
45,83410.3996133239
46,83408.981629002
47,83406.8330852239
48,83395.1402142638
49,83402.8660013298
50,83408.788946713
51,83412.4968694973
52,83409.7445399676
53,83407.6219162875
54,83412.0216803451
55,83409.6375967265
56,83406.9907923201
57,83395.6068328135
58,83404.8143591025
59,83407.2834706087
60,83406.9668702032
61,83398.3620783607
62,83404.796286631
63,83413.8817010339
64,83420.7021166534
65,83433.4128532987
66,83414.2280099192
67,83408.5935468139
68,83421.5445799922
69,83413.8179000204
70,83410.9622111809
71,83412.6455155723
72,83413.9163991988
73,83416.554342956
74,83414.4619881173
75,83409.063913209
76,83407.2790395806
77,83409.2284564825
78,83408.9465794335
79,83408.9206034952
80,83407.1645833495
81,83409.205479813
82,83409.2004117531
83,83410.9820219228
84,83415.6815011523
85,83405.551204589
86,83405.4744441171
87,83412.590153983
88,83409.5564147949
89,83407.8231165301
90,83409.1224481557
91,83409.6164978827
92,83410.6916361463
93,83410.318575172
94,83412.0274566111
95,83412.4408273042
96,83412.0477439903
97,83411.9286158962
98,83412.2714641629
99,83412.3760518252
100,83413.7114124161
101,83413.6526211532
102,83414.2803314229
103,83414.414270643
104,83414.6274247179
105,83414.4224953509
106,83416.1113215138
107,83416.3713506514
108,83415.2463371083
109,83415.3484604592
110,83412.9282510767
111,83412.9523443184
112,83413.4265964082
113,83413.3927382589
114,83413.2837689719
115,83413.7806637306
116,83413.2795412941
117,83412.7691486083
118,83414.5004379709
119,83414.9641744186
120,83412.9237368138
121,83412.4155010379
122,83410.6804936666
123,83411.7299557632
124,83412.4088840986
125,83411.7158364815
126,83411.642579198
127,83409.4058130624
128,83410.1985871368
129,83412.0705129777
130,83411.0746244239
131,83409.5274639631
132,83413.6638708455
133,83409.6830241373
134,83404.961546585
135,83404.8256148976
136,83406.2706161512
137,83408.5416409703
138,83407.3426398064
139,83406.2257986215
140,83409.4930949406
141,83409.30848107
142,83408.5958541559
143,83407.7791817561
144,83408.0092535251
145,83408.8078694035
146,83409.0826995704
147,83408.9124659337
148,83409.6991582645
149,83409.6849262703
150,83409.0556300669
151,83407.9728399617
152,83409.0928810707
153,83409.1961350067
154,83406.5277341254
155,83407.9354488791
156,83408.9516465794
157,83402.6843963932
158,83405.0609510153
159,83408.7373451618
160,83408.0511149632
161,83407.5285276267
162,83409.2291873811
163,83409.3022379202
164,83410.6242075966
165,83410.4660562531
166,83410.7557026822
167,83410.9098891772
168,83411.6096641925
169,83411.2552674875
170,83413.0576544527
171,83413.4214116249
172,83415.2598791169
173,83414.9783499219
174,83418.668424141
175,83419.5090031676
176,83420.2350997269
177,83420.4366324617
178,83417.5906755305
179,83418.9654088274
180,83412.5702307333
181,83412.2620172581
182,83412.4924638979
183,83411.1037186344
184,83412.1393762702
185,83412.9971041216
186,83415.0204478211
187,83414.4531583113
188,83415.2085315968
189,83415.6823439437
190,83419.2472876483
191,83419.5351418851
192,83418.369003066
193,83418.2228994404
194,83415.720581053
195,83415.5292355585
196,83420.3215553396
197,83420.3382115636
198,83413.7809648888
199,83413.106785714
200,83411.3036321898
201,83412.681472594
202,83409.3476225136
203,83407.6907708866
204,83409.2842176719
205,83411.8448788878
206,83414.4572154447
207,83413.4158727007
208,83416.6697961865
209,83418.5760966642
210,83428.2745992911
211,83427.6953230567
212,83427.9087473636
213,83428.5009296393
214,83432.5559917138
215,83432.3778555146
216,83418.1224026448
217,83419.3064318698
218,83416.8711292566
219,83416.6961751005
220,83419.0763958479
221,83415.7748107085
222,83416.1507145082
223,83430.5964727273
224,83400.7561960844
225,83411.6137891884
226,83411.0495611689
